Month,Day,Time,Wind (mph),Visibility (miles),Weather,Sky Condition,Air Temperature,Dew Point,,,Relative Humidity,Wind Chill,Heat Index,Altimeter (inHg),Sea Level,,,,,,,,,,,,,,,,,,
11,17,3:47 PM,nw 6,,,,62.6,37.4,,,39.16,,,30.2,,,,,,,,,,,,,,,,,,,
11,17,2:47 PM,nw 10,,,,62.6,39.2,,,42.03,,,30.2,,,,,,,,,,,,,,,,,,,
11,17,1:47 PM,n 7,,,,39.2,39.2,,,38.25,,,30.21,,,,,,,,,,,,,,,,,,,
11,17,12:47 PM,nnw 8,,,,62.6,33.8,,,33.95,,,30.23,,,,,,,,,,,,,,,,,,,
11,17,11:47 AM,,,,,55.4,39.2,,,54.35,,,30.27,,,,,,,,,,,,,,,,,,,
11,17,9:47,Calm,10,Partly Cloudy,SCT200,50,39,,,67%,NA,NA,30.3,NA,,,,,,,,,,,,,,,,,,
11,17,8:47,Calm,10,Partly Cloudy,SCT200,46,36,,,66%,NA,NA,30.3,NA,,,,,,,,,,,,,,,,,,
11,17,7:47,Calm,10,Partly Cloudy,SCT200,41,34,,,76%,NA,NA,30.3,NA,,,,,,,,,,,,,,,,,,
11,17,6:47,Vrbl 3,10,Partly Cloudy,SCT200,37,32,,,81%,NA,NA,30.3,NA,,,,,,,,,,,,,,,,,,
11,16,20:47,Vrbl 5,10,Clear,SKC,48,36,,,62%,46,NA,30.31,NA,,,,,,,,,,,,,,,,,,
11,16,19:47,Vrbl 5,10,Clear,SKC,48,36,,,62%,46,NA,30.33,NA,,,,,,,,,,,,,,,,,,
11,16,18:47,Vrbl 6,10,Clear,SKC,50,41,,,71%,48,NA,30.33,NA,,,,,,,,,,,,,,,,,,
11,16,17:47,NW 3,10,Clear,SKC,61,28,,,29%,NA,NA,30.31,NA,,,,,,,,,,,,,,,,,,
11,16,13:47,N 6,10,Clear,SKC,66,28,,,24%,NA,NA,30.32,NA,,,,,,,,,,,,,,,,,,
11,16,10:47,Vrbl 3,10,Clear,SKC,61,27,,,27%,NA,NA,30.39,NA,,,,,,,,,,,,,,,,,,
11,16,9:47,Calm,10,Clear,SKC,61,28,,,29%,NA,NA,30.39,NA,,,,,,,,,,,,,,,,,,
11,16,8:47,Calm,10,Clear,SKC,54,32,,,44%,NA,NA,30.39,NA,,,,,,,,,,,,,,,,,,
11,16,7:47,Vrbl 5,10,Clear,SKC,43,32,,,66%,40,NA,30.38,NA,,,,,,,,,,,,,,,,,,
11,16,6:47,Calm,10,Clear,SKC,37,30,,,75%,NA,NA,30.36,NA,,,,,,,,,,,,,,,,,,
11,15,20:47,S 6,10,Clear,SKC,45,36,,,71%,42,NA,30.29,NA,,,,,,,,,,,,,,,,,,
11,15,19:47,Calm,10,Clear,SKC,48,36,,,62%,NA,NA,30.28,NA,,,,,,,,,,,,,,,,,,
11,15,17:47,Vrbl 5,10,Clear,SKC,55,36,,,47%,NA,NA,30.25,NA,,,,,,,,,,,,,,,,,,
11,15,16:47,Vrbl 5,10,Clear,SKC,61,37,,,42%,NA,NA,30.23,NA,,,,,,,,,,,,,,,,,,
11,15,14:47,Vrbl 7,10,Clear,SKC,66,34,,,30%,NA,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,15,13:47,N 8,10,Clear,SKC,64,36,,,34%,NA,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,15,10:47,Calm,10,Clear,SKC,57,30,,,36%,NA,NA,30.24,NA,,,,,,,,,,,,,,,,,,
11,15,9:47,Calm,10,Clear,SKC,55,34,,,44%,NA,NA,30.25,NA,,,,,,,,,,,,,,,,,,
11,15,8:47,Vrbl 3,10,Clear,SKC,52,36,,,54%,NA,NA,30.24,NA,,,,,,,,,,,,,,,,,,
11,15,7:47,Vrbl 3,10,Clear,SKC,45,39,,,81%,NA,NA,30.22,NA,,,,,,,,,,,,,,,,,,
11,15,6:47,Vrbl 5,10,Clear,SKC,39,37,,,93%,35,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,14,20:47,NE 9,10,Clear,SKC,52,41,,,67%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,14,18:47,Calm,10,Clear,SKC,54,39,,,58%,NA,NA,30.12,NA,,,,,,,,,,,,,,,,,,
11,14,16:47,W 5,10,Clear,SKC,55,39,,,55%,NA,NA,30.1,NA,,,,,,,,,,,,,,,,,,
11,14,15:47,N 7,10,Clear,SKC,57,41,,,55%,NA,NA,30.1,NA,,,,,,,,,,,,,,,,,,
11,14,14:47,N 9,10,Clear,SKC,59,39,,,48%,NA,NA,30.11,NA,,,,,,,,,,,,,,,,,,
11,14,13:47,Vrbl 6,10,Clear,SKC,57,37,,,48%,NA,NA,30.12,NA,,,,,,,,,,,,,,,,,,
11,14,11:47,Vrbl 6,10,Clear,SKC,54,45,,,72%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,14,9:47,Vrbl 3,10,Clear,SKC,48,39,,,71%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,14,7:47,Calm,10,Clear,SKC,39,36,,,87%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,14,6:47,Vrbl 5,10,Clear,SKC,36,34,,,93%,32,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,13,20:47,Calm,10,Clear,SKC,45,36,,,71%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,13,19:47,Calm,10,Clear,SKC,45,36,,,71%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,13,18:47,Calm,10,Clear,SKC,50,36,,,58%,NA,NA,30.14,NA,,,,,,,,,,,,,,,,,,
11,13,17:47,W 5,10,Clear,SKC,52,36,,,54%,NA,NA,30.13,NA,,,,,,,,,,,,,,,,,,
11,13,16:47,NW 6,10,Clear,SKC,57,34,,,41%,NA,NA,30.11,NA,,,,,,,,,,,,,,,,,,
11,13,13:47,NW 7,10,Clear,SKC,61,32,,,34%,NA,NA,30.14,NA,,,,,,,,,,,,,,,,,,
11,13,12:47,N 8,10,Clear,SKC,59,36,,,42%,NA,NA,30.16,NA,,,,,,,,,,,,,,,,,,
11,13,11:47,NW 3,10,Clear,SKC,57,36,,,44%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,13,10:47,N 3,10,Clear,SKC,55,37,,,51%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,13,9:47,N 6,10,Clear,SKC,54,39,,,58%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,13,8:47,W 5,10,Clear,SKC,52,43,,,72%,NA,NA,30.18,NA,,,,,,,,,,,,,,,,,,
11,13,6:47,SW 5,10,A Few Clouds,FEW010,41,39,,,93%,38,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,12,20:47,W 7,10,Clear,SKC,50,43,,,76%,47,NA,30.13,NA,,,,,,,,,,,,,,,,,,
11,12,19:47,W 7,10,Clear,SKC,50,43,,,76%,47,NA,30.13,NA,,,,,,,,,,,,,,,,,,
11,12,18:47,W 10,10,Clear,SKC,52,45,,,77%,NA,NA,30.12,NA,,,,,,,,,,,,,,,,,,
11,12,17:47,W 10,10,Clear,SKC,54,43,,,67%,NA,NA,30.12,NA,,,,,,,,,,,,,,,,,,
11,12,16:47,NW 13,10,Clear,SKC,54,39,,,58%,NA,NA,30.11,NA,,,,,,,,,,,,,,,,,,
11,12,15:47,NW 13,10,A Few Clouds,FEW030,57,37,,,48%,NA,NA,30.11,NA,,,,,,,,,,,,,,,,,,
11,12,13:47,NW 15 G 21,10,A Few Clouds,FEW030,59,39,,,48%,NA,NA,30.11,NA,,,,,,,,,,,,,,,,,,
11,12,12:47,N 9,10,A Few Clouds,FEW030,57,46,,,67%,NA,NA,30.12,NA,,,,,,,,,,,,,,,,,,
11,12,11:47,N 8,10,A Few Clouds,FEW030,55,45,,,67%,NA,NA,30.14,NA,,,,,,,,,,,,,,,,,,
11,12,10:47,N 8,10,A Few Clouds,FEW030,54,46,,,77%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,12,9:47,Vrbl 6,10,Partly Cloudy,SCT030,54,46,,,77%,NA,NA,30.16,NA,,,,,,,,,,,,,,,,,,
11,12,8:47,Calm,10,Clear,SKC,52,46,,,82%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,12,7:47,Calm,10,Mostly Cloudy,BKN025,45,43,,,93%,NA,NA,30.14,NA,,,,,,,,,,,,,,,,,,
11,12,6:47,Vrbl 5,10,Mostly Cloudy,BKN025,45,43,,,93%,42,NA,30.13,NA,,,,,,,,,,,,,,,,,,
11,11,20:47,Calm,10,Partly Cloudy,SCT200,45,39,,,81%,NA,NA,30.11,NA,,,,,,,,,,,,,,,,,,
11,11,19:47,Calm,10,Partly Cloudy,SCT200,46,39,,,76%,NA,NA,30.11,NA,,,,,,,,,,,,,,,,,,
11,11,18:47,Calm,10,Partly Cloudy,SCT200,50,43,,,76%,NA,NA,30.1,NA,,,,,,,,,,,,,,,,,,
11,11,17:47,Calm,10,Partly Cloudy,SCT200,52,43,,,72%,NA,NA,30.09,NA,,,,,,,,,,,,,,,,,,
11,11,16:47,NW 3,10,Partly Cloudy,SCT200,55,43,,,63%,NA,NA,30.09,NA,,,,,,,,,,,,,,,,,,
11,11,15:47,NW 8,10,Partly Cloudy,SCT200,55,43,,,63%,NA,NA,30.1,NA,,,,,,,,,,,,,,,,,,
11,11,14:47,Calm,10,Partly Cloudy,SCT200,59,36,,,42%,NA,NA,30.1,NA,,,,,,,,,,,,,,,,,,
11,11,13:47,Calm,10,Partly Cloudy,SCT200,57,36,,,44%,NA,NA,30.11,NA,,,,,,,,,,,,,,,,,,
11,11,12:47,Vrbl 6,10,Partly Cloudy,SCT200,55,43,,,63%,NA,NA,30.13,NA,,,,,,,,,,,,,,,,,,
11,11,11:47,N 7,10,Partly Cloudy,SCT200,54,45,,,72%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,11,10:47,Vrbl 5,10,Partly Cloudy,SCT200,52,43,,,72%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,11,7:47,Calm,10,Partly Cloudy,SCT200,41,39,,,93%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,11,6:47,Calm,10,Partly Cloudy,SCT200,36,36,,,100%,NA,NA,30.18,NA,,,,,,,,,,,,,,,,,,
11,10,21:00,Vrbl 5,10,Clear,SKC,45,39,,,81%,42,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,10,18:47,NW 5,10,Clear,SKC,48,43,,,82%,46,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,10,17:47,W 5,10,Clear,SKC,50,39,,,67%,48,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,10,16:47,NW 9,10,Clear,SKC,54,43,,,67%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,10,15:47,NW 8,10,Clear,SKC,57,43,,,59%,NA,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,10,13:47,Calm,10,Clear,SKC,57,39,,,51%,NA,NA,30.23,NA,,,,,,,,,,,,,,,,,,
11,10,12:47,Calm,10,Clear,SKC,57,41,,,55%,NA,NA,30.25,NA,,,,,,,,,,,,,,,,,,
11,10,11:47,NW 6,10,Clear,SKC,55,43,,,63%,NA,NA,30.28,NA,,,,,,,,,,,,,,,,,,
11,10,10:47,N 6,10,Clear,SKC,54,43,,,67%,NA,NA,30.3,NA,,,,,,,,,,,,,,,,,,
11,10,8:47,NE 9,10,A Few Clouds,FEW030,52,43,,,72%,NA,NA,30.32,NA,,,,,,,,,,,,,,,,,,
11,10,6:47,W 6,10,A Few Clouds,FEW030,39,37,,,93%,35,NA,30.3,NA,,,,,,,,,,,,,,,,,,
11,9,20:47,Vrbl 5,10,Clear,SKC,45,43,,,93%,42,NA,30.26,NA,,,,,,,,,,,,,,,,,,
11,9,19:47,Calm,10,Clear,SKC,48,41,,,76%,NA,NA,30.24,NA,,,,,,,,,,,,,,,,,,
11,9,18:47,Calm,10,Clear,SKC,48,41,,,76%,NA,NA,30.23,NA,,,,,,,,,,,,,,,,,,
11,9,17:47,Calm,10,Clear,SKC,52,43,,,72%,NA,NA,30.22,NA,,,,,,,,,,,,,,,,,,
11,9,16:47,W 12,10,A Few Clouds,FEW030,55,41,,,59%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,9,15:47,NW 12,10,Partly Cloudy,SCT030,57,41,,,55%,NA,NA,30.18,NA,,,,,,,,,,,,,,,,,,
11,9,14:47,NW 12,10,Partly Cloudy,SCT030,55,41,,,59%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,9,13:47,NW 12,10,Partly Cloudy,SCT030,57,39,,,51%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,9,12:47,NW 7,10,Partly Cloudy,SCT030,59,43,,,55%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,9,9:47,SE 3,10,Partly Cloudy,SCT030,54,46,,,77%,NA,NA,30.13,NA,,,,,,,,,,,,,,,,,,
11,9,8:47,SE 3,10,Partly Cloudy,SCT030,50,46,,,88%,NA,NA,30.1,NA,,,,,,,,,,,,,,,,,,
11,9,6:47,SE 6,10,Partly Cloudy,FEW025 SCT060,43,43,,,100%,39,NA,30.03,NA,,,,,,,,,,,,,,,,,,
11,8,20:47,S 8,10,Partly Cloudy,SCT035,48,43,,,82%,44,NA,29.75,NA,,,,,,,,,,,,,,,,,,
11,8,19:47,S 10,10,Light Rain,BKN035,50,41,,,71%,46,NA,29.72,NA,,,,,,,,,,,,,,,,,,
11,8,18:47,Vrbl 5,10,Partly Cloudy,SCT035,48,41,,,76%,46,NA,29.72,NA,,,,,,,,,,,,,,,,,,
11,8,16:47,SW 10,10,Partly Cloudy,SCT035,52,41,,,67%,NA,NA,29.66,NA,,,,,,,,,,,,,,,,,,
11,8,15:47,Vrbl 6,10,Mostly Cloudy,BKN035,54,43,,,67%,NA,NA,29.65,NA,,,,,,,,,,,,,,,,,,
11,8,13:47,W 8,10,Mostly Cloudy,SCT035 BKN050,54,43,,,67%,NA,NA,29.61,NA,,,,,,,,,,,,,,,,,,
11,8,12:47,SW 5 G 16,8,Showers in Vicinity,SCT030 BKN060,54,45,,,72%,NA,NA,29.6,NA,,,,,,,,,,,,,,,,,,
11,8,8:47,SE 7,10,Showers in Vicinity,OVC030,48,46,,,94%,45,NA,29.61,NA,,,,,,,,,,,,,,,,,,
11,8,7:47,SE 5,10,Showers in Vicinity,OVC030,46,45,,,93%,44,NA,29.61,NA,,,,,,,,,,,,,,,,,,
11,8,6:47,W 8,3,Rain,OVC030,46,45,,,93%,42,NA,29.61,NA,,,,,,,,,,,,,,,,,,
11,7,20:47,SE 13,10,NA,NA,52,45,,,77%,NA,NA,29.83,NA,,,,,,,,,,,,,,,,,,
11,7,18:47,SE 7,10,Partly Cloudy,SCT060,52,43,,,72%,NA,NA,29.85,NA,,,,,,,,,,,,,,,,,,
11,7,17:47,S 7,10,Partly Cloudy,SCT060,54,39,,,58%,NA,NA,29.85,NA,,,,,,,,,,,,,,,,,,
11,7,16:47,SE 9,10,Partly Cloudy,SCT060,54,39,,,58%,NA,NA,29.84,NA,,,,,,,,,,,,,,,,,,
11,7,14:47,SW 12,10,Mostly Cloudy,BKN045,57,37,,,48%,NA,NA,29.85,NA,,,,,,,,,,,,,,,,,,
11,7,13:47,W 12 G 18,10,Partly Cloudy,SCT045,61,37,,,42%,NA,NA,29.86,NA,,,,,,,,,,,,,,,,,,
11,7,12:47,SW 10 G 17,10,Partly Cloudy,SCT045,61,37,,,42%,NA,NA,29.88,NA,,,,,,,,,,,,,,,,,,
11,7,11:47,SW 9,10,Partly Cloudy,SCT045,59,39,,,48%,NA,NA,29.9,NA,,,,,,,,,,,,,,,,,,
11,7,10:47 AM,6,,,,57.2,39.2,,,50.93,,,29.92,,,,,,,,,,,,,,,,,,,
11,7,9:47 AM,6,,,,55.4,41,,,58.29,,,29.93,,,,,,,,,,,,,,,,,,,
11,7,8:47 AM,4,,,,53.6,46.4,,,76.52,,,29.93,,,,,,,,,,,,,,,,,,,
11,7,7:47 AM,4,,,,50,48.2,,,93.5,,,29.92,,,,,,,,,,,,,,,,,,,
11,7,6:47 AM,4,,,,48.2,46.4,,,93.45,,,29.91,,,,,,,,,,,,,,,,,,,
11,6,8:47 PM,sse 8,,,,55.4,46.4,,,71.66,,,29.83,,,,,,,,,,,,,,,,,,,
11,6,7:47 PM,s 8,,,,57.2,44.6,,,62.72,,,29.84,,,,,,,,,,,,,,,,,,,
11,6,5:47 PM,-,,,,55.4,44.6,,,66.93,,,29.85,,,,,,,,,,,,,,,,,,,
11,6,4:47 PM,sw 8,,,,57.2,42.8,,,58.55,,,29.86,,,,,,,,,,,,,,,,,,,
11,6,3:47 PM,6,,,,60.8,42.8,,,51.48,,,29.87,,,,,,,,,,,,,,,,,,,
11,6,2:47 PM,4,,,,60.8,41,,,48.03,,,29.87,,,,,,,,,,,,,,,,,,,
11,6,1:47 PM,w 11,,,,60.8,42.8,,,51.48,,,29.89,,,,,,,,,,,,,,,,,,,
11,6,10:47 AM,nw 8,,,,60.8,42.8,,,51.48,,,29.96,,,,,,,,,,,,,,,,,,,
11,6,9:47 AM,wnw 6,,,,60.8,42.8,,,51.48,,,29.97,,,,,,,,,,,,,,,,,,,
11,6,8:47 AM,-,,,,57.2,42.8,,,58.55,,,29.97,,,,,,,,,,,,,,,,,,,
11,6,7:47 AM,wsw 5,,,,55.4,44.6,,,66.93,,,29.96,,,,,,,,,,,,,,,,,,,
11,6,6:47 AM,-,,,,51.8,44.6,,,76.35,,,29.96,,,,,,,,,,,,,,,,,,,
11,5,14:14,N 6,10,Mostly Cloudy,BKN037,61,55,,,83%,NA,NA,30.1,NA,,,,,,,,,,,,,,,,,,
11,5,13:47,NE 3,10,Mostly Cloudy,BKN037,63,54,,,73%,NA,NA,30.11,NA,,,,,,,,,,,,,,,,,,
11,5,12:47,NE 7,10,Mostly Cloudy,BKN017,63,54,,,73%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,5,11:47,E 3,10,Mostly Cloudy,BKN017,61,55,,,83%,NA,NA,30.18,NA,,,,,,,,,,,,,,,,,,
11,5,11:36,Vrbl 6,3,Mostly Cloudy,BKN017,61,54,,,77%,NA,NA,30.18,NA,,,,,,,,,,,,,,,,,,
11,5,10:47,Vrbl 6,3,Fog/Mist,BKN006,57,55,,,94%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,4,16:47,N 6,10,Partly Cloudy,SCT030,61,50,,,68%,NA,NA,30.3,NA,,,,,,,,,,,,,,,,,,
11,4,15:47,NE 3,10,Partly Cloudy,SCT017,61,48,,,63%,NA,NA,30.31,NA,,,,,,,,,,,,,,,,,,
11,4,14:47,NE 5,10,Partly Cloudy,SCT017,61,48,,,63%,NA,NA,30.31,NA,,,,,,,,,,,,,,,,,,
11,4,13:57,N 5,10,Mostly Cloudy,BKN017,59,43,,,55%,NA,NA,30.34,NA,,,,,,,,,,,,,,,,,,
11,4,11:47,E 5,10,Overcast,OVC060,55,39,,,55%,NA,NA,30.39,NA,,,,,,,,,,,,,,,,,,
11,4,9:47,Calm,10,Mostly Cloudy,BKN060,52,36,,,54%,NA,NA,30.39,NA,,,,,,,,,,,,,,,,,,
